Course Level,Variables,Pseudo R-squared,Log-Likelihood,LLR p-value,LL-Null
Combo2,ERM_SCORE,0.007893979236661353,-787.3658342069668,0.00040051071659531,-793.6307387804761
Combo2,"hs_gpa, ERM_SCORE",0.018888660564724935,-778.6401171419199,3.0878467779811114e-07,-793.6307387804761
Combo2,sat_new_math,0.001415399131112216,-792.5074345223823,0.13390759941165914,-793.6307387804761
Combo2,act_math,0.0073398410445351114,-787.8056153097705,0.0006419401288381791,-793.6307387804761
Combo2,"hs_gpa, sat_new_math",0.012619769461275188,-783.615301819685,4.470447449518145e-05,-793.6307387804761
Combo2,"hs_gpa, act_math",0.018092356649663355,-779.272088406324,5.809213994697188e-07,-793.6307387804761
216Q,ERM_SCORE,0.0058193119864653475,-1029.8775935532306,0.0005161158449729721,-1035.9058528998603
216Q,"hs_gpa, ERM_SCORE",0.02032256068840077,-1014.8535933368333,7.196475317435668e-10,-1035.9058528998603
216Q,sat_new_math,0.005659467133458773,-1030.043177772016,0.000616544437855735,-1035.9058528998603
216Q,act_math,0.01618480811962686,-1019.1399154406777,7.010562729287689e-09,-1035.9058528998603
216Q,"hs_gpa, sat_new_math",0.01854618491158755,-1016.6937514009837,4.5320045089075625e-09,-1035.9058528998603
216Q,"hs_gpa, act_math",0.02780406348351272,-1007.1034608028901,3.0994172562096624e-13,-1035.9058528998603
105Q,ERM_SCORE,0.0022017571254412394,-391.6092136949603,0.18863301277103284,-392.4733446781512
105Q,"hs_gpa, ERM_SCORE",0.024883757582436883,-382.7071331116119,5.73572350355061e-05,-392.4733446781512
105Q,sat_new_math,0.0007638771016857948,-392.1735432771295,0.4387296152329022,-392.4733446781512
105Q,act_math,0.004935287948089506,-390.5363757102147,0.049041328602709704,-392.4733446781512
105Q,"hs_gpa, sat_new_math",0.02347094243981207,-383.2616253960498,9.986220401345264e-05,-392.4733446781512
105Q,"hs_gpa, act_math",0.02596035997041346,-382.28459537151423,3.759087186321935e-05,-392.4733446781512
161Q,ERM_SCORE,0.0006645292132079206,-830.2768385016815,0.29334180545487976,-830.8289486092111
161Q,"hs_gpa, ERM_SCORE",0.029881833108813982,-806.0022566248992,1.6515992131661002e-11,-830.8289486092111
161Q,sat_new_math,0.002888500133702676,-828.4290990800694,0.02846470861232384,-830.8289486092111
161Q,act_math,0.00999786235146538,-822.5224351434035,4.5835117305429826e-05,-830.8289486092111
161Q,"hs_gpa, sat_new_math",0.030009940907080868,-805.8958209575566,1.484842002958209e-11,-830.8289486092111
161Q,"hs_gpa, act_math",0.03440663661740384,-802.2429188831943,3.8480883130071003e-13,-830.8289486092111
151Q,ERM_SCORE,0.0018156049526655282,-631.9724893059696,0.12945741848851494,-633.121988724339
151Q,"hs_gpa, ERM_SCORE",0.015303546600906492,-623.4329768658374,6.196060001822049e-05,-633.121988724339
151Q,sat_new_math,0.0005609882197378235,-632.7668147470076,0.3993283235829763,-633.121988724339
151Q,act_math,0.0012108702715724062,-632.3553601299138,0.21562425626732282,-633.121988724339
151Q,"hs_gpa, sat_new_math",0.014321422785893434,-624.054781048772,0.00011538829076260318,-633.121988724339
151Q,"hs_gpa, act_math",0.013630397609602718,-624.4922842826438,0.0001787174587891371,-633.121988724339
121Q,ERM_SCORE,0.00755437018655436,-1545.8603540087106,1.2273941497772533e-06,-1557.6272468440338
121Q,"hs_gpa, ERM_SCORE",0.017282919259328344,-1530.7069009006984,2.0353650175092608e-12,-1557.6272468440338
121Q,sat_new_math,0.0012551768826213339,-1555.672149132054,0.04799401611348716,-1557.6272468440338
121Q,act_math,0.011415161065236545,-1539.8466809417082,2.47170505402315e-09,-1557.6272468440338
121Q,"hs_gpa, sat_new_math",0.009900724885213874,-1542.2056079993179,2.0066302170810972e-07,-1557.6272468440338
121Q,"hs_gpa, act_math",0.019611701240014434,-1527.0795266356224,5.411201156823213e-14,-1557.6272468440338
Combo1,ERM_SCORE,0.0022017571254412394,-391.6092136949603,0.18863301277103284,-392.4733446781512
Combo1,"hs_gpa, ERM_SCORE",0.024883757582436883,-382.7071331116119,5.73572350355061e-05,-392.4733446781512
Combo1,sat_new_math,0.0007638771016857948,-392.1735432771295,0.4387296152329022,-392.4733446781512
Combo1,act_math,0.004935287948089506,-390.5363757102147,0.049041328602709704,-392.4733446781512
Combo1,"hs_gpa, sat_new_math",0.02347094243981207,-383.2616253960498,9.986220401345264e-05,-392.4733446781512
Combo1,"hs_gpa, act_math",0.02596035997041346,-382.28459537151423,3.759087186321935e-05,-392.4733446781512
171Q,ERM_SCORE,0.001325935442589854,-553.0132482976928,0.22558775011833737,-553.7474817099369
171Q,"hs_gpa, ERM_SCORE",0.0153051003567235,-545.2723209300834,0.00020858565622768285,-553.7474817099369
171Q,sat_new_math,0.0028503126290261305,-552.1691282695276,0.0756155743717656,-553.7474817099369
171Q,act_math,0.003073196704807435,-552.0457067738505,0.06505627199741673,-553.7474817099369
171Q,"hs_gpa, sat_new_math",0.0156409211587637,-545.0863610066478,0.0001731901033830787,-553.7474817099369
171Q,"hs_gpa, act_math",0.016111582865738883,-544.825733271673,0.00013345470337464648,-553.7474817099369
088,ERM_SCORE,0.002345165625508683,-63.272541460819355,0.5854748930491329,-63.42127485453415
088,"hs_gpa, ERM_SCORE",0.010773292759912567,-62.73801889331937,0.5049701495707211,-63.42127485453415
088,sat_new_math,0.0044254403169300405,-63.14060778784179,0.45372319889759716,-63.42127485453415
088,act_math,0.008467459997948068,-62.88425774668451,0.3000359867109174,-63.42127485453415
088,"hs_gpa, sat_new_math",0.013498016311356942,-62.56521345206059,0.4248320339233147,-63.42127485453415
088,"hs_gpa, act_math",0.017263667516278725,-62.32639105198694,0.33457848185733174,-63.42127485453415
Combo3,ERM_SCORE,0.00755437018655436,-1545.8603540087106,1.2273941497772533e-06,-1557.6272468440338
Combo3,"hs_gpa, ERM_SCORE",0.017282919259328344,-1530.7069009006984,2.0353650175092608e-12,-1557.6272468440338
Combo3,sat_new_math,0.0012551768826213339,-1555.672149132054,0.04799401611348716,-1557.6272468440338
Combo3,act_math,0.011415161065236545,-1539.8466809417082,2.47170505402315e-09,-1557.6272468440338
Combo3,"hs_gpa, sat_new_math",0.009900724885213874,-1542.2056079993179,2.0066302170810972e-07,-1557.6272468440338
Combo3,"hs_gpa, act_math",0.019611701240014434,-1527.0795266356224,5.411201156823213e-14,-1557.6272468440338
132,ERM_SCORE,0.04112475936410909,-66.02257066924807,0.01732425569199261,-68.85418234958733
132,"hs_gpa, ERM_SCORE",0.05139665631052137,-65.31530760382363,0.029045992826592117,-68.85418234958733
132,sat_new_math,0.009578099205056478,-68.19469016035994,0.25077440434833115,-68.85418234958733
132,act_math,0.060276823283476166,-64.70387096777301,0.00396314860749945,-68.85418234958733
132,"hs_gpa, sat_new_math",0.02270503095484233,-67.29084600796959,0.20943615371219382,-68.85418234958733
132,"hs_gpa, act_math",0.07178480921986119,-63.91149800563267,0.007135418723330143,-68.85418234958733
090,ERM_SCORE,0.007893979236661353,-787.3658342069668,0.00040051071659531,-793.6307387804761
090,"hs_gpa, ERM_SCORE",0.018888660564724935,-778.6401171419199,3.0878467779811114e-07,-793.6307387804761
090,sat_new_math,0.001415399131112216,-792.5074345223823,0.13390759941165914,-793.6307387804761
090,act_math,0.0073398410445351114,-787.8056153097705,0.0006419401288381791,-793.6307387804761
090,"hs_gpa, sat_new_math",0.012619769461275188,-783.615301819685,4.470447449518145e-05,-793.6307387804761
090,"hs_gpa, act_math",0.018092356649663355,-779.272088406324,5.809213994697188e-07,-793.6307387804761
165Q,ERM_SCORE,0.0063293719010928395,-41.35221287869989,0.4679547343567658,-41.61561357390128
165Q,"hs_gpa, ERM_SCORE",0.006329436957646983,-41.35221017133147,0.7684318473959375,-41.61561357390128
165Q,sat_new_math,6.2982236173070305e-06,-41.61535146946102,0.9817335435285796,-41.61561357390128
165Q,act_math,0.02017384297781244,-40.776066720236074,0.19504492101787602,-41.61561357390128
165Q,"hs_gpa, sat_new_math",0.00023731972277385438,-41.605737368024855,0.9901724036871964,-41.61561357390128
165Q,"hs_gpa, act_math",0.021249151169946856,-40.731317110039356,0.4130046347777484,-41.61561357390128
